Execution Time, Current_Position, Buy_Sell, Trigger_Price, Execution_Price, PNL, REASON, RULE
20160504  14:30:10,10000,BUY,1.149475,1.1495,0,,Random Rule
20160504  14:32:28,0,SELL,1.149725,1.14965,1.5,,Exit Random Trade
20160504  14:32:40,10000,BUY,1.149525,1.14955,0,,Random Rule
20160504  14:35:44,0,SELL,1.149325,1.14935,-1.99999999999818,,Cutloss Random Trade
20160504  14:35:52,-10000,SELL,1.1493,1.14935,0,,Random Rule
20160504  14:36:06,0,BUY,1.149125,1.14915,2.00000000000364,,Exit Random Trade
20160504  14:36:11,-10000,SELL,1.149125,1.1491,0,,Random Rule
20160504  14:38:25,0,BUY,1.1489,1.1488,3,,Exit Random Trade
20160504  14:38:26,10000,BUY,1.14865,1.148564,0,,Random Rule
20160504  14:39:03,0,SELL,1.148775,1.1488,2.36000000000058,,Exit Random Trade
20160504  14:39:18,10000,BUY,1.148575,1.1487,0,,Random Rule
